"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3102","TC_Login_RegisterLink_RedirectionToSignUp","chromium","2026-09-14","passed","2026-09-14","","UI/loginpage.spec.ts","",""
"","1392","Create a user test","chromium","2026-09-14","passed","2026-09-14","","API/users.api.spec.ts","",""
"","1321","Update a user: PUT call","chromium","2026-09-14","passed","2026-09-14","","API/users.api.spec.ts","",""
"","2848","Verify error message on clicking of sign in button on empty email and password","chromium","2026-09-14","passed","2026-09-14","","UI/loginpage.spec.ts","",""
"","3373","Verify user redirect to forgot password page","chromium","2026-09-14","passed","2026-09-14","","UI/loginpage.spec.ts","",""
"","5037","Verify user able to login","chromium","2026-09-14","passed","2026-09-14","","UI/loginpage.spec.ts","",""
"","25","excel test","chromium","2026-09-14","passed","2026-09-14","","UI/excelTest.spec.ts","",""
"","1356","Delecte the user: Delete","chromium","2026-09-14","passed","2026-09-14","","API/users.api.spec.ts","",""
"","3613","TC_02 [Forgot Password Page] | ForgotPwd_UnregisteredEmail_WarningMsg_Verification","chromium","2026-09-14","passed","2026-09-14","","UI/forgotPasswordPage.spec.ts","",""
"","4371","TC 01_UI_AccountPage_TitleVisibility","chromium","2026-09-14","passed","2026-09-14","","UI/homepage.spec.ts","",""
"","3111","Verify error message on incorrect email","chromium","2026-09-14","passed","2026-09-14","","UI/loginpage.spec.ts","",""
"","4035","TC_01 [Forgot Password Page] | ForgotPwd_RegisteredEmail_SuccessMsg_Verification","chromium","2026-09-14","passed","2026-09-14","","UI/forgotPasswordPage.spec.ts","",""
"","2395","Verify shortcut links on login page","chromium","2026-09-14","passed","2026-09-14","","UI/loginpage.spec.ts","",""
