"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4688","Verify user able to login","NALab_uiTests","2026-09-23","passed","2026-09-23","","UI/loginpage.spec.ts","",""
"","2860","Verify error message on incorrect email","NALab_uiTests","2026-09-23","passed","2026-09-23","","UI/loginpage.spec.ts","",""
"","3838","TC_01 [Forgot Password Page] | ForgotPwd_RegisteredEmail_SuccessMsg_Verification","NALab_uiTests","2026-09-23","passed","2026-09-23","","UI/forgotPasswordPage.spec.ts","",""
"","2843","Search valid expected product","NALab_uiTests","2026-09-23","passed","2026-09-23","","UI/searchpage.spec.ts","",""
"","2224","TC 01_UI_AccountPage_TitleVisibility","NALab_uiTests","2026-09-23","passed","2026-09-23","","UI/homepage.spec.ts","",""
"","9005","Verify User Able to Change password","NALab_uiTests","2026-09-23","passed","2026-09-23","","UI/changePasswordPage.spec.ts","",""
"","1486","Create a user test","NALab_apiTests","2026-09-23","passed","2026-09-23","","API/users.api.spec.ts","",""
"","3461","Verify user redirect to forgot password page","NALab_uiTests","2026-09-23","passed","2026-09-23","","UI/loginpage.spec.ts","",""
"","3028","TC_Login_RegisterLink_RedirectionToSignUp","NALab_uiTests","2026-09-23","passed","2026-09-23","","UI/loginpage.spec.ts","",""
"","2764","Verify error message on clicking of sign in button on empty email and password","NALab_uiTests","2026-09-23","passed","2026-09-23","","UI/loginpage.spec.ts","",""
"","788","Update a user: PUT call","NALab_apiTests","2026-09-23","passed","2026-09-23","","API/users.api.spec.ts","",""
"","3089","Verify User able to complete the Account creation/register form","NALab_uiTests","2026-09-23","passed","2026-09-23","","UI/registerPage.spec.ts","",""
"","2168","Verify shortcut links on login page","NALab_uiTests","2026-09-23","passed","2026-09-23","","UI/loginpage.spec.ts","",""
"","20","excel test","NALab_uiTests","2026-09-23","passed","2026-09-23","","UI/excelTest.spec.ts","",""
"","1365","Delecte the user: Delete","NALab_apiTests","2026-09-23","passed","2026-09-23","","API/users.api.spec.ts","",""
"","3077","TC_02 [Forgot Password Page] | ForgotPwd_UnregisteredEmail_WarningMsg_Verification","NALab_uiTests","2026-09-23","passed","2026-09-23","","UI/forgotPasswordPage.spec.ts","",""
