"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2898","Verify error message on incorrect email","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/loginpage.spec.ts","",""
"","2940","Verify error message on clicking of sign in button on empty email and password","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/loginpage.spec.ts","",""
"","1410","Delecte the user: Delete","NALab_apiTests","2026-09-21","passed","2026-09-21","","API/users.api.spec.ts","",""
"","2540","Verify shortcut links on login page","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/loginpage.spec.ts","",""
"","3385","Verify User able to complete the Account creation/register form","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/registerPage.spec.ts","",""
"","847","Update a user: PUT call","NALab_apiTests","2026-09-21","passed","2026-09-21","","API/users.api.spec.ts","",""
"","3319","Verify user redirect to forgot password page","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/loginpage.spec.ts","",""
"","3927","TC_01 [Forgot Password Page] | ForgotPwd_RegisteredEmail_SuccessMsg_Verification","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/forgotPasswordPage.spec.ts","",""
"","2392","TC 01_UI_AccountPage_TitleVisibility","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/homepage.spec.ts","",""
"","3147","TC_02 [Forgot Password Page] | ForgotPwd_UnregisteredEmail_WarningMsg_Verification","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/forgotPasswordPage.spec.ts","",""
"","3192","TC_Login_RegisterLink_RedirectionToSignUp","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/loginpage.spec.ts","",""
"","8932","Verify User Able to Change password","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/changePasswordPage.spec.ts","",""
"","1450","Create a user test","NALab_apiTests","2026-09-21","passed","2026-09-21","","API/users.api.spec.ts","",""
"","15","excel test","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/excelTest.spec.ts","",""
"","2828","Search valid expected product","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/searchpage.spec.ts","",""
"","5067","Verify user able to login","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/loginpage.spec.ts","",""
