"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3547","TC_02 [Forgot Password Page] | ForgotPwd_UnregisteredEmail_WarningMsg_Verification","chromium","2026-09-11","passed","2026-09-11","","UI/forgotPasswordPage.spec.ts","",""
"","4386","TC 01_UI_AccountPage_TitleVisibility","chromium","2026-09-11","passed","2026-09-11","","UI/homepage.spec.ts","",""
"","5105","Verify user able to login","chromium","2026-09-11","passed","2026-09-11","","UI/loginpage.spec.ts","",""
"","3422","Verify user redirect to forgot password page","chromium","2026-09-11","passed","2026-09-11","","UI/loginpage.spec.ts","",""
"","785","Delecte the user: Delete","chromium","2026-09-11","passed","2026-09-11","","API/users.api.spec.ts","",""
"","753","Update a user: PUT call","chromium","2026-09-11","passed","2026-09-11","","API/users.api.spec.ts","",""
"","834","Create a user test","chromium","2026-09-11","passed","2026-09-11","","API/users.api.spec.ts","",""
"","2989","Verify error message on clicking of sign in button on empty email and password","chromium","2026-09-11","passed","2026-09-11","","UI/loginpage.spec.ts","",""
"","3260","Verify error message on incorrect email","chromium","2026-09-11","passed","2026-09-11","","UI/loginpage.spec.ts","",""
"","2521","Verify shortcut links on login page","chromium","2026-09-11","passed","2026-09-11","","UI/loginpage.spec.ts","",""
"","4224","TC_01 [Forgot Password Page] | ForgotPwd_RegisteredEmail_SuccessMsg_Verification","chromium","2026-09-11","passed","2026-09-11","","UI/forgotPasswordPage.spec.ts","",""
"","3225","TC_Login_RegisterLink_RedirectionToSignUp","chromium","2026-09-11","passed","2026-09-11","","UI/loginpage.spec.ts","",""
"","22","excel test","chromium","2026-09-11","passed","2026-09-11","","UI/excelTest.spec.ts","",""
