"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1419","Create a user test","chromium","2026-09-16","passed","2026-09-16","","API/users.api.spec.ts","",""
"","7","Verify User Able to Change password","chromium","2026-09-16","failed","2026-09-16","","UI/changePasswordPage.spec.ts","",""
"","9","Verify error message on incorrect email","chromium","2026-09-16","failed","2026-09-16","","UI/loginpage.spec.ts","",""
"","4","TC_Login_RegisterLink_RedirectionToSignUp","chromium","2026-09-16","failed","2026-09-16","","UI/loginpage.spec.ts","",""
"","8","Verify error message on clicking of sign in button on empty email and password","chromium","2026-09-16","failed","2026-09-16","","UI/loginpage.spec.ts","",""
"","32","excel test","chromium","2026-09-16","passed","2026-09-16","","UI/excelTest.spec.ts","",""
"","1407","Delecte the user: Delete","chromium","2026-09-16","passed","2026-09-16","","API/users.api.spec.ts","",""
"","3","Verify User able to complete the Account creation/register form","chromium","2026-09-16","failed","2026-09-16","","UI/registerPage.spec.ts","",""
"","8","TC_01 [Forgot Password Page] | ForgotPwd_RegisteredEmail_SuccessMsg_Verification","chromium","2026-09-16","failed","2026-09-16","","UI/forgotPasswordPage.spec.ts","",""
"","7","Verify user able to login","chromium","2026-09-16","failed","2026-09-16","","UI/loginpage.spec.ts","",""
"","1416","Update a user: PUT call","chromium","2026-09-16","passed","2026-09-16","","API/users.api.spec.ts","",""
"","22","TC 01_UI_AccountPage_TitleVisibility","chromium","2026-09-16","failed","2026-09-16","","UI/homepage.spec.ts","",""
"","7","TC_02 [Forgot Password Page] | ForgotPwd_UnregisteredEmail_WarningMsg_Verification","chromium","2026-09-16","failed","2026-09-16","","UI/forgotPasswordPage.spec.ts","",""
"","8","Verify shortcut links on login page","chromium","2026-09-16","failed","2026-09-16","","UI/loginpage.spec.ts","",""
"","3","Verify user redirect to forgot password page","chromium","2026-09-16","failed","2026-09-16","","UI/loginpage.spec.ts","",""
