"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3993","TC 01_UI_AccountPage_TitleVisibility","chromium","2026-09-17","passed","2026-09-17","","UI/homepage.spec.ts","",""
"","1160","Delecte the user: Delete","chromium","2026-09-17","passed","2026-09-17","","API/users.api.spec.ts","",""
"","2798","TC_Login_RegisterLink_RedirectionToSignUp","chromium","2026-09-17","passed","2026-09-17","","UI/loginpage.spec.ts","",""
"","2488","Verify error message on clicking of sign in button on empty email and password","chromium","2026-09-17","passed","2026-09-17","","UI/loginpage.spec.ts","",""
"","3357","TC_02 [Forgot Password Page] | ForgotPwd_UnregisteredEmail_WarningMsg_Verification","chromium","2026-09-17","passed","2026-09-17","","UI/forgotPasswordPage.spec.ts","",""
"","3689","TC_01 [Forgot Password Page] | ForgotPwd_RegisteredEmail_SuccessMsg_Verification","chromium","2026-09-17","passed","2026-09-17","","UI/forgotPasswordPage.spec.ts","",""
"","2135","Verify shortcut links on login page","chromium","2026-09-17","passed","2026-09-17","","UI/loginpage.spec.ts","",""
"","1165","Update a user: PUT call","chromium","2026-09-17","passed","2026-09-17","","API/users.api.spec.ts","",""
"","2750","Verify User able to complete the Account creation/register form","chromium","2026-09-17","passed","2026-09-17","","UI/registerPage.spec.ts","",""
"","8711","Verify User Able to Change password","chromium","2026-09-17","passed","2026-09-17","","UI/changePasswordPage.spec.ts","",""
"","4100","Verify user able to login","chromium","2026-09-17","passed","2026-09-17","","UI/loginpage.spec.ts","",""
"","2755","Verify error message on incorrect email","chromium","2026-09-17","passed","2026-09-17","","UI/loginpage.spec.ts","",""
"","2723","Verify user redirect to forgot password page","chromium","2026-09-17","passed","2026-09-17","","UI/loginpage.spec.ts","",""
"","25","excel test","chromium","2026-09-17","passed","2026-09-17","","UI/excelTest.spec.ts","",""
"","1314","Create a user test","chromium","2026-09-17","passed","2026-09-17","","API/users.api.spec.ts","",""
