"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2626","Search valid expected product","NALab_uiTests","2026-09-24","passed","2026-09-24","","UI/searchpage.spec.ts","",""
"","3426","TC_01 [Forgot Password Page] | ForgotPwd_RegisteredEmail_SuccessMsg_Verification","NALab_uiTests","2026-09-24","passed","2026-09-24","","UI/forgotPasswordPage.spec.ts","",""
"","2185","TC 01_UI_AccountPage_TitleVisibility","NALab_uiTests","2026-09-24","passed","2026-09-24","","UI/homepage.spec.ts","",""
"","1248","Delecte the user: Delete","NALab_apiTests","2026-09-24","passed","2026-09-24","","API/users.api.spec.ts","",""
"","3925","Verify User able to complete the Account creation/register form","NALab_uiTests","2026-09-24","passed","2026-09-24","","UI/registerPage.spec.ts","",""
"","5500","Verify user redirect to forgot password page","NALab_uiTests","2026-09-24","passed","2026-09-24","","UI/loginpage.spec.ts","",""
"","5466","TC_Login_RegisterLink_RedirectionToSignUp","NALab_uiTests","2026-09-24","passed","2026-09-24","","UI/loginpage.spec.ts","",""
"","2783","Verify error message on incorrect email","NALab_uiTests","2026-09-24","passed","2026-09-24","","UI/loginpage.spec.ts","",""
"","8953","Verify User Able to Change password","NALab_uiTests","2026-09-24","passed","2026-09-24","","UI/changePasswordPage.spec.ts","",""
"","2613","Verify error message on clicking of sign in button on empty email and password","NALab_uiTests","2026-09-24","passed","2026-09-24","","UI/loginpage.spec.ts","",""
"","814","Update a user: PUT call","NALab_apiTests","2026-09-24","passed","2026-09-24","","API/users.api.spec.ts","",""
"","1288","Create a user test","NALab_apiTests","2026-09-24","passed","2026-09-24","","API/users.api.spec.ts","",""
"","3105","TC_02 [Forgot Password Page] | ForgotPwd_UnregisteredEmail_WarningMsg_Verification","NALab_uiTests","2026-09-24","passed","2026-09-24","","UI/forgotPasswordPage.spec.ts","",""
"","42","excel test","NALab_uiTests","2026-09-24","passed","2026-09-24","","UI/excelTest.spec.ts","",""
"","4609","Verify user able to login","NALab_uiTests","2026-09-24","passed","2026-09-24","","UI/loginpage.spec.ts","",""
"","4927","Verify shortcut links on login page","NALab_uiTests","2026-09-24","passed","2026-09-24","","UI/loginpage.spec.ts","",""
