"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3597","TC_02 [Forgot Password Page] | ForgotPwd_UnregisteredEmail_WarningMsg_Verification","NALab_uiTests","2026-09-22","passed","2026-09-22","","UI/forgotPasswordPage.spec.ts","",""
"","3400","Verify error message on incorrect email","NALab_uiTests","2026-09-22","passed","2026-09-22","","UI/loginpage.spec.ts","",""
"","3758","Verify User able to complete the Account creation/register form","NALab_uiTests","2026-09-22","passed","2026-09-22","","UI/registerPage.spec.ts","",""
"","45","excel test","NALab_uiTests","2026-09-22","passed","2026-09-22","","UI/excelTest.spec.ts","",""
"","3894","Verify user redirect to forgot password page","NALab_uiTests","2026-09-22","passed","2026-09-22","","UI/loginpage.spec.ts","",""
"","10969","Verify User Able to Change password","NALab_uiTests","2026-09-22","passed","2026-09-22","","UI/changePasswordPage.spec.ts","",""
"","3108","Search valid expected product","NALab_uiTests","2026-09-22","passed","2026-09-22","","UI/searchpage.spec.ts","",""
"","1300","Create a user test","NALab_apiTests","2026-09-22","passed","2026-09-22","","API/users.api.spec.ts","",""
"","1383","Delecte the user: Delete","NALab_apiTests","2026-09-22","passed","2026-09-22","","API/users.api.spec.ts","",""
"","1102","Update a user: PUT call","NALab_apiTests","2026-09-22","passed","2026-09-22","","API/users.api.spec.ts","",""
"","4493","TC_01 [Forgot Password Page] | ForgotPwd_RegisteredEmail_SuccessMsg_Verification","NALab_uiTests","2026-09-22","passed","2026-09-22","","UI/forgotPasswordPage.spec.ts","",""
"","2572","TC 01_UI_AccountPage_TitleVisibility","NALab_uiTests","2026-09-22","passed","2026-09-22","","UI/homepage.spec.ts","",""
"","2580","Verify shortcut links on login page","NALab_uiTests","2026-09-22","passed","2026-09-22","","UI/loginpage.spec.ts","",""
"","5379","Verify user able to login","NALab_uiTests","2026-09-22","passed","2026-09-22","","UI/loginpage.spec.ts","",""
"","3371","TC_Login_RegisterLink_RedirectionToSignUp","NALab_uiTests","2026-09-22","passed","2026-09-22","","UI/loginpage.spec.ts","",""
"","3203","Verify error message on clicking of sign in button on empty email and password","NALab_uiTests","2026-09-22","passed","2026-09-22","","UI/loginpage.spec.ts","",""
