"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2670","Verify error message on incorrect email","chromium","2026-09-15","passed","2026-09-15","","UI/loginpage.spec.ts","",""
"","2862","TC_02 [Forgot Password Page] | ForgotPwd_UnregisteredEmail_WarningMsg_Verification","chromium","2026-09-15","passed","2026-09-15","","UI/forgotPasswordPage.spec.ts","",""
"","3497","TC_01 [Forgot Password Page] | ForgotPwd_RegisteredEmail_SuccessMsg_Verification","chromium","2026-09-15","passed","2026-09-15","","UI/forgotPasswordPage.spec.ts","",""
"","4314","Verify user able to login","chromium","2026-09-15","passed","2026-09-15","","UI/loginpage.spec.ts","",""
"","2699","Verify user redirect to forgot password page","chromium","2026-09-15","passed","2026-09-15","","UI/loginpage.spec.ts","",""
"","20","excel test","chromium","2026-09-15","passed","2026-09-15","","UI/excelTest.spec.ts","",""
"","1229","Update a user: PUT call","chromium","2026-09-15","passed","2026-09-15","","API/users.api.spec.ts","",""
"","1958","Verify shortcut links on login page","chromium","2026-09-15","passed","2026-09-15","","UI/loginpage.spec.ts","",""
"","2659","TC_Login_RegisterLink_RedirectionToSignUp","chromium","2026-09-15","passed","2026-09-15","","UI/loginpage.spec.ts","",""
"","1290","Create a user test","chromium","2026-09-15","passed","2026-09-15","","API/users.api.spec.ts","",""
"","2420","Verify error message on clicking of sign in button on empty email and password","chromium","2026-09-15","passed","2026-09-15","","UI/loginpage.spec.ts","",""
"","1265","Delecte the user: Delete","chromium","2026-09-15","passed","2026-09-15","","API/users.api.spec.ts","",""
"","3631","TC 01_UI_AccountPage_TitleVisibility","chromium","2026-09-15","passed","2026-09-15","","UI/homepage.spec.ts","",""
