"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3099","Verify user redirect to forgot password page","chromium","2026-09-18","passed","2026-09-18","","UI/loginpage.spec.ts","",""
"","2464","Verify shortcut links on login page","chromium","2026-09-18","passed","2026-09-18","","UI/loginpage.spec.ts","",""
"","2810","Verify error message on clicking of sign in button on empty email and password","chromium","2026-09-18","passed","2026-09-18","","UI/loginpage.spec.ts","",""
"","4918","TC 01_UI_AccountPage_TitleVisibility","chromium","2026-09-18","passed","2026-09-18","","UI/homepage.spec.ts","",""
"","4884","TC_01 [Forgot Password Page] | ForgotPwd_RegisteredEmail_SuccessMsg_Verification","chromium","2026-09-18","passed","2026-09-18","","UI/forgotPasswordPage.spec.ts","",""
"","2712","Verify User able to complete the Account creation/register form","chromium","2026-09-18","passed","2026-09-18","","UI/registerPage.spec.ts","",""
"","3302","TC_02 [Forgot Password Page] | ForgotPwd_UnregisteredEmail_WarningMsg_Verification","chromium","2026-09-18","passed","2026-09-18","","UI/forgotPasswordPage.spec.ts","",""
"","1337","Delecte the user: Delete","chromium","2026-09-18","passed","2026-09-18","","API/users.api.spec.ts","",""
"","3366","Verify error message on incorrect email","chromium","2026-09-18","passed","2026-09-18","","UI/loginpage.spec.ts","",""
"","1448","Create a user test","chromium","2026-09-18","passed","2026-09-18","","API/users.api.spec.ts","",""
"","1287","Update a user: PUT call","chromium","2026-09-18","passed","2026-09-18","","API/users.api.spec.ts","",""
"","23","excel test","chromium","2026-09-18","passed","2026-09-18","","UI/excelTest.spec.ts","",""
"","4958","Verify user able to login","chromium","2026-09-18","passed","2026-09-18","","UI/loginpage.spec.ts","",""
"","10438","Verify User Able to Change password","chromium","2026-09-18","passed","2026-09-18","","UI/changePasswordPage.spec.ts","",""
"","2934","TC_Login_RegisterLink_RedirectionToSignUp","chromium","2026-09-18","passed","2026-09-18","","UI/loginpage.spec.ts","",""
