"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1213","Delecte the user: Delete","chromium","2026-09-11","passed","2026-09-11","","API/users.api.spec.ts","",""
"","1246","Update a user: PUT call","chromium","2026-09-11","passed","2026-09-11","","API/users.api.spec.ts","",""
"","3240","Verify error message on clicking of sign in button on empty email and password","chromium","2026-09-11","passed","2026-09-11","","UI/loginpage.spec.ts","",""
"","1115","Create a user test","chromium","2026-09-11","passed","2026-09-11","","API/users.api.spec.ts","",""
"","3243","TC_Login_RegisterLink_RedirectionToSignUp","chromium","2026-09-11","passed","2026-09-11","","UI/loginpage.spec.ts","",""
"","3364","Verify user redirect to forgot password page","chromium","2026-09-11","passed","2026-09-11","","UI/loginpage.spec.ts","",""
"","2969","Verify error message on incorrect email","chromium","2026-09-11","passed","2026-09-11","","UI/loginpage.spec.ts","",""
"","3525","TC_02 [Forgot Password Page] | ForgotPwd_UnregisteredEmail_WarningMsg_Verification","chromium","2026-09-11","passed","2026-09-11","","UI/forgotPasswordPage.spec.ts","",""
"","4211","TC 01_UI_AccountPage_TitleVisibility","chromium","2026-09-11","passed","2026-09-11","","UI/homepage.spec.ts","",""
"","5065","Verify user able to login","chromium","2026-09-11","passed","2026-09-11","","UI/loginpage.spec.ts","",""
"","4042","TC_01 [Forgot Password Page] | ForgotPwd_RegisteredEmail_SuccessMsg_Verification","chromium","2026-09-11","passed","2026-09-11","","UI/forgotPasswordPage.spec.ts","",""
"","27","excel test","chromium","2026-09-11","passed","2026-09-11","","UI/excelTest.spec.ts","",""
"","2953","Verify shortcut links on login page","chromium","2026-09-11","passed","2026-09-11","","UI/loginpage.spec.ts","",""
