"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3515","TC_02 [Forgot Password Page] | ForgotPwd_UnregisteredEmail_WarningMsg_Verification","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/forgotPasswordPage.spec.ts","",""
"","2883","Verify error message on clicking of sign in button on empty email and password","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/loginpage.spec.ts","",""
"","1201","Update a user: PUT call","NALab_apiTests","2026-09-21","passed","2026-09-21","","API/users.api.spec.ts","",""
"","3450","Verify User able to complete the Account creation/register form","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/registerPage.spec.ts","",""
"","3090","Verify error message on incorrect email","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/loginpage.spec.ts","",""
"","9810","Verify User Able to Change password","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/changePasswordPage.spec.ts","",""
"","789","Create a user test","NALab_apiTests","2026-09-21","passed","2026-09-21","","API/users.api.spec.ts","",""
"","3570","Verify user redirect to forgot password page","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/loginpage.spec.ts","",""
"","2487","TC 01_UI_AccountPage_TitleVisibility","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/homepage.spec.ts","",""
"","4078","TC_01 [Forgot Password Page] | ForgotPwd_RegisteredEmail_SuccessMsg_Verification","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/forgotPasswordPage.spec.ts","",""
"","5220","Verify user able to login","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/loginpage.spec.ts","",""
"","2754","Verify shortcut links on login page","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/loginpage.spec.ts","",""
"","3088","Search valid expected product","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/searchpage.spec.ts","",""
"","40","excel test","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/excelTest.spec.ts","",""
"","3262","TC_Login_RegisterLink_RedirectionToSignUp","NALab_uiTests","2026-09-21","passed","2026-09-21","","UI/loginpage.spec.ts","",""
"","1181","Delecte the user: Delete","NALab_apiTests","2026-09-21","passed","2026-09-21","","API/users.api.spec.ts","",""
