"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1346","Create a user test","chromium","2026-09-11","passed","2026-09-11","","API/users.api.spec.ts","",""
"","3277","TC_Login_RegisterLink_RedirectionToSignUp","chromium","2026-09-11","passed","2026-09-11","","UI/loginpage.spec.ts","",""
"","3011","Verify error message on clicking of sign in button on empty email and password","chromium","2026-09-11","passed","2026-09-11","","UI/loginpage.spec.ts","",""
"","5452","Verify user able to login","chromium","2026-09-11","passed","2026-09-11","","UI/loginpage.spec.ts","",""
"","3312","Verify error message on incorrect email","chromium","2026-09-11","passed","2026-09-11","","UI/loginpage.spec.ts","",""
"","23","excel test","chromium","2026-09-11","passed","2026-09-11","","UI/excelTest.spec.ts","",""
"","3498","Verify user redirect to forgot password page","chromium","2026-09-11","passed","2026-09-11","","UI/loginpage.spec.ts","",""
"","4704","TC 01_UI_AccountPage_TitleVisibility","chromium","2026-09-11","passed","2026-09-11","","UI/homepage.spec.ts","",""
"","1220","Update a user: PUT call","chromium","2026-09-11","passed","2026-09-11","","API/users.api.spec.ts","",""
"","4409","TC_01 [Forgot Password Page] | ForgotPwd_RegisteredEmail_SuccessMsg_Verification","chromium","2026-09-11","passed","2026-09-11","","UI/forgotPasswordPage.spec.ts","",""
"","2519","Verify shortcut links on login page","chromium","2026-09-11","passed","2026-09-11","","UI/loginpage.spec.ts","",""
"","1298","Delecte the user: Delete","chromium","2026-09-11","passed","2026-09-11","","API/users.api.spec.ts","",""
"","3905","TC_02 [Forgot Password Page] | ForgotPwd_UnregisteredEmail_WarningMsg_Verification","chromium","2026-09-11","passed","2026-09-11","","UI/forgotPasswordPage.spec.ts","",""
