"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2486","Verify error message on clicking of sign in button on empty email and password","NALab_uiTests","2026-09-20","passed","2026-09-20","","UI/loginpage.spec.ts","",""
"","3737","TC_01 [Forgot Password Page] | ForgotPwd_RegisteredEmail_SuccessMsg_Verification","NALab_uiTests","2026-09-20","passed","2026-09-20","","UI/forgotPasswordPage.spec.ts","",""
"","2964","Verify user redirect to forgot password page","NALab_uiTests","2026-09-20","passed","2026-09-20","","UI/loginpage.spec.ts","",""
"","1224","Update a user: PUT call","NALab_apiTests","2026-09-20","passed","2026-09-20","","API/users.api.spec.ts","",""
"","2952","Verify User able to complete the Account creation/register form","NALab_uiTests","2026-09-20","passed","2026-09-20","","UI/registerPage.spec.ts","",""
"","1225","Create a user test","NALab_apiTests","2026-09-20","passed","2026-09-20","","API/users.api.spec.ts","",""
"","3313","TC_02 [Forgot Password Page] | ForgotPwd_UnregisteredEmail_WarningMsg_Verification","NALab_uiTests","2026-09-20","passed","2026-09-20","","UI/forgotPasswordPage.spec.ts","",""
"","2000","Verify shortcut links on login page","NALab_uiTests","2026-09-20","passed","2026-09-20","","UI/loginpage.spec.ts","",""
"","8415","Verify User Able to Change password","NALab_uiTests","2026-09-20","passed","2026-09-20","","UI/changePasswordPage.spec.ts","",""
"","4094","Verify user able to login","NALab_uiTests","2026-09-20","passed","2026-09-20","","UI/loginpage.spec.ts","",""
"","2563","Verify error message on incorrect email","NALab_uiTests","2026-09-20","passed","2026-09-20","","UI/loginpage.spec.ts","",""
"","2590","TC_Login_RegisterLink_RedirectionToSignUp","NALab_uiTests","2026-09-20","passed","2026-09-20","","UI/loginpage.spec.ts","",""
"","2349","TC 01_UI_AccountPage_TitleVisibility","NALab_uiTests","2026-09-20","passed","2026-09-20","","UI/homepage.spec.ts","",""
"","1121","Delecte the user: Delete","NALab_apiTests","2026-09-20","passed","2026-09-20","","API/users.api.spec.ts","",""
"","104","excel test","NALab_uiTests","2026-09-20","passed","2026-09-20","","UI/excelTest.spec.ts","",""
